"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"56"	"MIR34AHG"	16.7578880554972	-1.60913038993719	0.523019008728495	-3.05476578394687	0.00225236343423064	0.0112664660120907
"57"	"TMEM201"	525.968236558965	-1.27997519949079	0.226023319425812	-5.66174541791925	1.49841013000195e-08	2.42497292157577e-07
"58"	"PIK3CD-AS1"	30.0882155498738	-2.35259119671158	0.409248551814603	-5.60104173794068	2.13067421347647e-08	3.35576861501883e-07
"59"	"PGD"	2261.607284528	-1.02364711933804	0.159261416896836	-6.42725311140191	1.29930378622806e-10	2.86912321268674e-09
"60"	"CENPS"	44.5883544649787	-1.73115392612295	0.342673855893242	-5.01623699894972	5.26933232159493e-07	6.48646444768778e-06
"61"	"CASZ1"	509.142134416949	-1.26874047470316	0.153017486619189	-8.28912122747937	1.14088219630214e-16	4.56070598389814e-15
"62"	"SRM"	2402.25736658325	-1.54816165114135	0.273583077586207	-5.65857571856065	1.52634373094304e-08	2.46746641187145e-07
"63"	"FBXO6"	409.762775781852	-2.25987030619447	0.229844989239103	-9.81836092664402	9.38571367856025e-23	5.43194677014705e-21
"64"	"TNFRSF8"	12.1932009105917	-2.66321012265096	0.546936970039262	-4.28016761046097	1.86752612983522e-05	0.000165331491348152
"65"	"DHRS3"	1710.90385306939	-1.13710001822729	0.197439492401991	-5.75892788524622	8.46498544141098e-09	1.41629386451614e-07
"66"	"FAM131C"	4.10364221011208	-1.61491402109967	0.540349863850278	-3.29452720413228	0.000985874013917956	0.00553571311380999
"67"	"MRTO4"	1421.83941428049	-1.51620350004272	0.247650274608477	-6.12166774875654	9.26009594252191e-10	1.8025576318636e-08
"68"	"UBXN10-AS1"	3.81369542604477	-1.3532290594322	0.539594621284567	-2.580869451479	0.0098551842013071	0.0393476753078546
"69"	"E2F2"	338.214350759684	-4.65515401284727	0.296244474607055	-15.3256707286841	5.15199756917741e-53	1.07405299861518e-50
