"","Ad1","Ad2","Ad3","Ad1 CD3CD28","Ad2 CD3CD28","Ad3 CD3CD28"
"XLOC_003701",0,0,3,0,2,2
"XLOC_003702",1,1,0,0,3,0
"XLOC_003703",5,3,2,2,1,1
"XLOC_003710",0,0,0,0,0,0
"XLOC_003739",11,2,14,9,16,9
"XLOC_003741",0,5,2,4,11,2
"XLOC_003743",7,8,2,16,17,5
"XLOC_003744",23,25,15,40,50,13
"XLOC_003754",1,0,0,2,2,1
"XLOC_003758",52,60,64,31,73,34
"XLOC_003759",13,2,7,0,12,5
"XLOC_003765",1,1,5,2,2,1
"XLOC_003810",0,0,0,0,0,0
"XLOC_003878",17,2,4,3,10,11
"XLOC_003880",0,1,0,1,1,0
"XLOC_003881",1,2,1,0,0,0
"XLOC_003882",1,0,0,2,1,0
"XLOC_003883",136,91,107,80,139,75
"XLOC_003884",3,3,0,1,0,1
"XLOC_003888",0,0,0,0,0,0
"XLOC_003889",1,0,0,1,3,5
"XLOC_003891",2,1,0,2,1,1
"XLOC_003892",1,0,0,1,0,0
"XLOC_003911",13,12,12,7,12,5
"XLOC_003913",6,10,8,52,101,39
"XLOC_003921",0,0,0,15,11,18
"XLOC_003922",0,1,0,0,0,0
"XLOC_003923",0,0,0,0,0,1
"XLOC_003934",0,0,1,0,0,2
"XLOC_003935",0,0,0,0,0,1
"XLOC_003936",0,0,1,0,1,0
"XLOC_003938",28,15,23,20,29,12
"XLOC_003939",8,15,8,7,13,9
"XLOC_003940",1,4,2,6,3,0
"XLOC_003941",2,5,3,4,6,4
"XLOC_003948",13,3,9,4,0,1
"XLOC_003954",8,4,6,11,14,7
"XLOC_003961",1,0,1,1,0,0
"XLOC_003994",0,0,0,0,0,0
"XLOC_004027",8,6,5,2,2,9
"XLOC_004029",5,15,2,2,7,4
"XLOC_004033",35,30,32,15,20,13
"XLOC_004053",7,6,6,6,15,12
"XLOC_004055",29,11,13,6,10,10
"XLOC_004061",1,0,2,0,0,0
"XLOC_004063",57,42,66,45,55,43
"XLOC_004077",2,2,2,0,0,0
"XLOC_004140",2,1,0,0,1,1
"XLOC_004169",0,0,0,0,1,0
"XLOC_004175",26,16,10,18,14,16
"XLOC_004176",5,3,0,11,6,5
"XLOC_004196",11,9,4,10,10,10
"XLOC_004203",0,0,1,1,1,2
"XLOC_004204",87,67,69,63,83,55
"XLOC_004205",10,10,3,6,10,8
"XLOC_004229",10,6,2,22,20,24
"XLOC_004230",0,0,0,0,0,0
"XLOC_004233",1,1,1,5,2,0
"XLOC_004235",12,1,9,3,7,1
"XLOC_004236",3,0,1,1,2,0
"XLOC_004283",12,7,14,1,4,2
"XLOC_004284",6,12,27,2,8,6
"XLOC_004291",3,7,6,4,8,2
"XLOC_004292",2,3,3,2,4,3
"XLOC_004293",7,7,6,4,8,4
"XLOC_004311",212,160,184,84,106,75
"XLOC_004324",0,0,0,1,0,0
"XLOC_004330",5,2,2,4,3,4
"XLOC_004331",11,11,11,2,5,4
"XLOC_004353",1,0,0,1,1,1
"XLOC_004354",0,0,2,0,0,0
"XLOC_004355",6,10,4,2,4,4
"XLOC_004357",2,3,5,1,3,1
"XLOC_004365",3,0,2,1,4,2
"XLOC_004369",1,2,5,8,6,5
"XLOC_004386",3,0,1,0,0,0
"XLOC_004388",0,1,0,0,1,0
"XLOC_004564",7,5,10,15,9,9
"XLOC_004565",23,11,14,15,19,27
"XLOC_004574",0,0,0,0,0,0
"XLOC_004625",0,2,0,0,0,0
"XLOC_004630",1,1,0,2,11,5
"XLOC_004656",2,0,2,1,3,1
"XLOC_004663",2,0,1,1,0,3
"XLOC_004670",91,115,156,82,168,124
"XLOC_004674",1,0,2,9,3,3
"XLOC_004720",4,10,8,0,1,2
"XLOC_004729",0,0,0,0,0,0
"XLOC_004730",0,0,0,0,0,0
"XLOC_004770",0,1,0,1,4,2
"XLOC_004786",37,14,25,18,17,13
"XLOC_004790",0,0,0,0,1,4
"XLOC_004794",0,1,1,2,0,3
"XLOC_004795",2,2,1,0,0,0
"XLOC_004796",0,0,0,0,1,0
"XLOC_004815",1,0,0,2,1,0
"XLOC_004836",13,6,2,9,17,15
"XLOC_004868",53,48,30,24,40,49
"XLOC_004879",0,69,41,0,21,5
"XLOC_004880",0,102,62,2,35,6
"XLOC_004933",2,0,1,1,2,0
"XLOC_004941",0,0,0,0,0,0
"XLOC_004942",1,0,1,0,0,0
"XLOC_004943",0,1,1,0,1,0
"XLOC_004944",2,1,0,0,0,0
"XLOC_004946",0,0,0,0,0,0
"XLOC_004965",1,0,0,0,0,0
"XLOC_005052",4,2,0,1,2,0
"XLOC_005053",1,0,0,2,1,5
"XLOC_005054",1,2,1,2,0,2
"XLOC_005057",0,0,0,1,3,0
"XLOC_005086",3,8,7,5,5,3
"XLOC_005087",5,6,4,10,8,2
"XLOC_005108",7,4,6,4,8,1
"XLOC_005123",27,17,14,10,17,14
"XLOC_005132",60,47,60,25,46,30
"XLOC_005143",7,7,5,15,5,8
"XLOC_005216",0,0,1,3,3,1
"XLOC_005226",1,0,0,0,0,1
"XLOC_005229",0,0,0,0,0,0
"XLOC_005231",3,2,0,2,0,0
"XLOC_005232",18,14,7,9,9,9
"XLOC_005233",5,3,3,0,1,1
"XLOC_005234",4,1,0,3,0,2
"XLOC_005235",97,87,104,44,76,29
"XLOC_005239",5,8,4,4,14,1
"XLOC_005241",0,0,0,0,0,0
"XLOC_005242",0,0,1,0,0,1
"XLOC_005252",25,20,13,17,29,7
"XLOC_005253",10,8,11,12,8,2
"XLOC_005254",2,4,4,1,2,1
"XLOC_005265",0,0,0,0,0,0
"XLOC_005272",2,3,0,1,2,2
"XLOC_005273",13,10,7,19,10,9
"XLOC_005274",33,43,35,31,26,24
"XLOC_005322",1,4,1,1,2,4
"XLOC_005324",0,0,0,0,0,0
"XLOC_005326",0,0,0,0,0,0
"XLOC_005338",32,21,22,13,18,13
"XLOC_005341",15,4,11,6,7,6
"XLOC_005358",0,0,0,0,0,0
"XLOC_005371",2,2,0,2,0,2
"XLOC_005373",15,10,9,9,9,17
"XLOC_005375",1,1,1,0,2,1
"XLOC_005437",1,0,3,2,0,0
"XLOC_005457",16,3,5,14,8,0
"XLOC_005458",13,4,1,11,2,2
"XLOC_005459",42,9,9,24,3,8
"XLOC_005460",15,2,1,10,4,1
"XLOC_005461",12,1,2,3,3,2
"XLOC_005462",4,1,0,2,0,0
"XLOC_005468",2,2,0,0,1,1
"XLOC_005470",30,23,23,9,26,8
"XLOC_005489",0,0,0,0,0,0
"XLOC_005495",0,5,0,0,12,1
"XLOC_005499",1,2,0,0,1,0
"XLOC_005500",21,22,9,8,17,4
"XLOC_005534",2,10,28,2,12,19
"XLOC_005535",0,0,0,0,0,0
"XLOC_005536",3,5,5,2,2,1
"XLOC_005537",9,0,3,9,12,3
"XLOC_005539",1,1,1,0,1,2
"XLOC_005540",3,1,2,0,2,0
"XLOC_005541",0,0,1,0,0,0
"XLOC_005542",6,6,2,4,13,6
"XLOC_005543",1,4,1,0,3,2
"XLOC_005544",0,0,0,0,1,0
"XLOC_005545",0,0,0,0,0,0
"XLOC_005546",2,2,0,2,11,2
"XLOC_005547",8,0,1,3,5,0
"XLOC_005548",6,2,0,15,9,5
"XLOC_005549",8,2,5,31,7,5
"XLOC_005550",3,3,0,1,3,2
"XLOC_005551",14,6,11,11,23,5
"XLOC_005552",3,7,13,1,8,6
"XLOC_005553",1,1,1,1,3,0
"XLOC_005554",0,22,15,0,4,1
"XLOC_005555",0,1,0,0,1,0
"XLOC_005556",11,1,2,5,8,1
"XLOC_005557",57,50,45,44,76,52
"XLOC_005558",4,4,2,6,12,1
"XLOC_005559",0,0,0,0,0,0
"XLOC_005560",330,319,323,256,433,277
"XLOC_005561",3,0,0,1,4,2
"XLOC_005562",1,0,0,0,0,0
"XLOC_005570",0,0,0,0,0,1
"XLOC_005589",3,1,3,2,0,6
"XLOC_005592",5,5,2,18,14,8
"XLOC_005608",1,0,2,1,0,0
"XLOC_005609",2,0,4,2,0,0
"XLOC_005626",20,34,17,26,34,9
"XLOC_005627",90,68,42,74,74,41
"XLOC_005629",1,0,2,1,0,0
"XLOC_005630",1,0,0,1,0,0
"XLOC_005631",17,24,7,17,18,7
"XLOC_005632",0,0,0,1,1,0
"XLOC_005634",54,48,42,11,29,17
"XLOC_005635",46,39,35,19,29,15
"XLOC_005646",5,3,6,3,3,1
"XLOC_005647",1,2,3,1,0,1
"XLOC_005648",5,4,4,4,4,8
"XLOC_005649",16,15,7,24,19,15
"XLOC_005675",9,4,4,5,10,2
"XLOC_005676",12,6,9,5,13,7
"XLOC_005686",0,0,0,2,2,2
"XLOC_005689",1,0,2,0,3,2
"XLOC_005690",15,11,10,3,7,5
"XLOC_005725",33,35,28,25,41,12
"XLOC_005726",0,0,0,0,0,0
"XLOC_005773",0,0,0,1,0,0
"XLOC_005781",2,3,1,2,4,1
"XLOC_005782",5,2,1,3,4,2
"XLOC_005783",2,2,0,3,1,1
"XLOC_005784",28,6,14,15,7,6
"XLOC_005785",0,0,0,0,0,0
"XLOC_005804",1,0,3,0,0,0
"XLOC_005817",4,1,1,0,0,2
"XLOC_005837",2,0,0,0,0,0
"XLOC_005844",99,76,88,64,58,58
"XLOC_005849",0,0,1,1,0,0
"XLOC_005855",2,0,0,0,1,0
"XLOC_005884",0,0,1,2,0,0
"XLOC_005907",8,13,8,2,5,7
"XLOC_005942",3,0,1,3,1,1
"XLOC_005943",10,4,3,4,12,2
"XLOC_005978",80,73,104,6,7,6
"XLOC_005980",12,3,6,2,4,6
"XLOC_005981",2,4,2,3,0,0
"XLOC_005982",0,0,0,0,0,1
"XLOC_005995",5,8,23,2,14,9
"XLOC_005996",0,0,0,0,0,0
"XLOC_005997",0,0,0,0,0,0
"XLOC_006000",74,24,62,52,21,48
"XLOC_006062",2,3,0,1,3,1
"XLOC_006077",0,0,0,0,0,0
"XLOC_006080",2,0,2,7,8,7
"XLOC_006081",0,0,0,1,5,2
"XLOC_006082",0,0,0,0,0,0
"XLOC_006091",3,5,5,4,3,3
"XLOC_006094",34,32,35,24,37,26
"XLOC_006152",2,3,13,2,5,5
"XLOC_006153",1,3,12,5,3,2
"XLOC_006175",1,2,0,1,0,1
"XLOC_006228",0,2,0,1,2,0
"XLOC_006253",1,1,0,0,0,0
"XLOC_006270",7,1,2,3,0,2
"XLOC_006271",1,0,5,3,1,4
"XLOC_006272",4,0,2,0,1,4
"XLOC_006299",2,2,1,0,4,0
"XLOC_006300",7,7,13,2,6,7
"XLOC_006305",0,0,0,0,0,0
"XLOC_006316",12,3,8,1,7,3
"XLOC_006317",7,2,4,2,2,1
"XLOC_006333",1,2,3,3,3,1
"XLOC_006356",0,0,0,0,0,1
"XLOC_006357",0,1,0,8,6,7
"XLOC_006358",16,5,9,32,55,38
"XLOC_006359",1,0,0,2,0,0
"XLOC_006394",4,0,0,2,1,4
"XLOC_006406",8,6,4,3,2,1
"XLOC_006444",32,17,26,14,24,20
"XLOC_006445",0,0,1,0,1,0
"XLOC_006449",5,1,5,3,1,9
"XLOC_006457",5,10,3,4,3,1
"XLOC_006460",11,15,14,8,21,16
"XLOC_006469",1,1,0,5,2,5
"XLOC_006470",0,0,0,0,0,0
"XLOC_006471",4,0,0,1,1,3
"XLOC_006472",5,5,7,4,13,1
"XLOC_006473",18,18,3,8,16,10
"XLOC_006474",0,0,2,0,0,0
"XLOC_006493",11,23,16,21,25,10
"XLOC_006497",0,0,0,0,0,0
"XLOC_006499",59,36,56,36,46,35
"XLOC_006500",6,3,3,1,2,1
"XLOC_006519",6,14,5,3,17,2
"XLOC_006520",3,11,3,4,10,1
"XLOC_006555",0,11,0,0,1,0
"XLOC_006571",0,0,0,4,4,4
"XLOC_006572",1,0,0,7,7,14
"XLOC_006573",0,0,0,1,0,0
"XLOC_006575",0,0,0,0,0,0
"XLOC_006585",29,27,41,21,38,15
"XLOC_006586",9,5,5,8,17,2
"XLOC_006589",0,0,1,0,0,0
"XLOC_006590",1,0,1,0,0,1
"XLOC_006591",0,0,0,0,0,0
"XLOC_006592",0,0,0,0,0,0
"XLOC_006600",8,2,5,4,9,5
"XLOC_006601",1,0,3,0,1,1
"XLOC_006602",8,13,17,10,13,10
"XLOC_006603",4,2,5,3,5,1
"XLOC_006604",16,11,22,17,14,11
"XLOC_006605",61,48,54,61,60,69
"XLOC_006606",2,3,1,2,1,0
"XLOC_006607",0,2,4,0,4,3
"XLOC_006629",2,0,0,1,0,1
"XLOC_006656",0,2,5,4,2,9
"XLOC_006701",0,0,0,2,3,3
"XLOC_006702",4,1,2,5,4,1
"XLOC_006703",1,6,3,3,4,2
"XLOC_006704",21,18,22,14,25,16
"XLOC_006705",91,112,124,64,102,83
"XLOC_006706",12,10,3,6,5,7
"XLOC_006707",2,0,2,1,3,4
"XLOC_006708",1,1,0,2,1,0
"XLOC_006709",2,7,1,4,5,7
"XLOC_006710",0,2,0,0,2,0
"XLOC_006711",39,13,23,31,32,26
"XLOC_006712",2,5,0,0,3,1
"XLOC_006713",3,0,1,1,0,0
"XLOC_006714",0,0,0,1,0,0
"XLOC_006715",1,2,0,0,2,0
"XLOC_006716",2,0,1,1,0,0
"XLOC_006717",0,0,0,0,0,1
"XLOC_006718",1,0,0,1,0,0
"XLOC_006719",1,0,1,0,3,1
"XLOC_006720",5,2,9,5,9,8
"XLOC_006721",1,0,0,0,1,0
"XLOC_006722",0,0,0,0,3,0
"XLOC_006723",0,1,0,1,2,0
"XLOC_006724",0,0,1,0,0,0
"XLOC_006725",1,2,1,2,5,1
"XLOC_006726",0,0,1,2,2,0
"XLOC_006727",2,1,1,3,3,0
"XLOC_006739",0,3,0,1,0,1
"XLOC_006763",0,2,0,2,0,0
"XLOC_006764",3,2,4,1,5,2
"XLOC_006766",3,3,1,2,0,1
"XLOC_006772",1,5,4,4,11,0
"XLOC_006773",4,1,2,4,10,3
"XLOC_006774",11,18,11,10,15,6
"XLOC_006775",8,3,5,4,11,2
"XLOC_006776",13,24,23,10,20,14
"XLOC_006777",6,11,6,2,8,6
"XLOC_006778",5,8,11,3,8,2
"XLOC_006788",0,0,0,0,0,0
"XLOC_006792",3,0,3,1,2,1
"XLOC_006805",0,2,1,1,0,1
"XLOC_006827",13,4,15,5,8,3
"XLOC_006828",6,4,5,1,8,1
"XLOC_006829",0,0,1,2,0,0
"XLOC_006830",12,3,1,12,11,5
"XLOC_006837",0,0,0,0,0,0
"XLOC_006842",3,12,0,6,8,0
"XLOC_006857",2,2,1,5,7,2
"XLOC_006872",1,0,0,0,0,0
"XLOC_006876",0,0,0,0,0,0
"XLOC_006878",0,0,0,0,0,0
"XLOC_006883",0,0,0,0,0,0
"XLOC_006884",0,0,0,0,0,0
"XLOC_006885",11,19,39,1,5,5
"XLOC_006886",16,36,36,3,6,7
"XLOC_006893",3,1,1,1,0,0
"XLOC_006903",87,57,56,51,69,50
"XLOC_006904",16,20,15,23,28,19
"XLOC_006905",32,30,21,15,22,18
"XLOC_006909",11,4,8,4,8,3
"XLOC_006938",12,16,23,2,2,11
"XLOC_006946",0,0,2,2,0,0
"XLOC_006947",6,7,5,3,13,12
"XLOC_006967",0,0,3,0,1,0
