"","Ad1","Ad2","Ad3","Ad1 CD3CD28","Ad2 CD3CD28","Ad3 CD3CD28"
"AC008429.2",6,6,1,7,10,13
"ATP6V0E1",3807,2890,2937,3097,3770,3990
"AC008429.4",3,2,0,3,2,0
"SNORA74B",2,5,1,1,5,1
"CREBRF",4293,2671,3002,2541,4248,2023
"CDC42P5",1,0,1,2,3,1
"AC008378.1",0,0,0,1,0,0
"BNIP1",240,148,162,267,357,463
"RPL7AP33",0,0,0,0,0,0
"STC2",0,0,0,29,32,80
"BOD1",1188,857,924,922,1129,1020
"LINC01484",0,2,0,0,0,0
"CPEB4",485,302,373,543,805,553
"C5orf47",0,0,0,0,0,0
"NSG2",2,0,0,0,1,2
"GAPDHP71",0,0,0,0,1,1
"SUMO2P6",2,2,2,0,2,1
"DRD1",0,0,0,0,1,3
"SFXN1",3035,2377,2378,4449,7593,8922
"HRH2",227,219,163,148,588,1010
"RNU6-226P",1,0,0,0,3,2
"AC138965.3",4,1,1,2,2,1
"AC138965.2",0,0,0,0,4,0
"THOC3",344,306,272,285,451,413
"AC139491.3",4,3,15,0,1,4
"AC139491.1",3,0,5,0,0,1
"FAM153B",21,15,71,8,16,34
"AC139491.7",217,115,404,84,102,173
"AC139491.5",101,61,242,25,67,116
"AC139491.4",0,1,0,0,0,0
"AC139491.2",0,0,1,0,1,2
"AC139491.6",0,0,0,0,0,1
"AC139493.2",1,0,0,0,2,1
"SIMC1",475,386,505,452,626,721
"BRCC3P1",10,11,9,13,11,12
"KIAA1191",2875,2184,2294,1591,2327,1990
"AC138956.1",1,2,0,1,0,0
"AC138956.2",0,1,0,0,0,1
"ARL10",1253,1006,908,722,988,661
"MIR1271",0,1,0,2,1,1
"NOP16",637,515,450,785,1138,2035
"HIGD2A",1373,1149,1268,1403,1790,2042
"CLTB",652,458,569,686,767,1090
"FAF2",1933,1541,1585,1883,2407,2220
"RNF44",9635,8884,8410,4982,7698,5753
"CDHR2",76,33,30,15,11,15
"GPRIN1",11,8,12,68,55,64
"SNCB",0,0,0,0,0,0
"EIF4E1B",0,0,0,0,0,0
"TSPAN17",2141,1512,1294,2342,2713,2221
"UNC5A",0,0,0,1,0,1
"HK3",1,1,11,4,1,4
"UIMC1",1938,1548,1519,1309,1860,1537
"ZNF346",654,551,518,496,688,671
"ZNF346-IT1",42,44,39,24,26,22
"FGFR4",62,57,50,32,48,56
"NSD1",5850,4772,4635,3665,4931,4037
"AC146507.2",4,5,3,4,6,4
"PRMT1P1",0,0,0,0,0,2
"RAB24",444,381,293,312,585,303
"MXD3",529,260,352,530,476,486
"PRELID1",1525,1157,1199,2001,2517,3926
"LMAN2",3073,2480,2780,2758,3445,3522
"AC146507.1",0,0,0,0,0,0
"RGS14",5517,4473,4432,2299,3300,2545
"SLC34A1",8,0,5,0,2,0
"F12",4,0,1,7,5,21
"GRK6",5614,4312,4043,3103,4252,3495
"PRR7-AS1",9,5,4,1,2,1
"PRR7",115,55,82,67,73,100
"DBN1",1904,965,663,1086,1088,1331
"AC145098.2",22,6,11,13,9,12
"PDLIM7",317,151,176,338,247,371
"DOK3",77,70,97,56,98,159
"DDX41",1921,1526,1672,1831,2298,2909
"FAM193B",5743,5083,5662,3699,5481,4601
"AC139795.3",2,3,5,4,6,3
"TMED9",1852,1513,1236,1899,2608,2661
"B4GALT7",766,762,746,560,858,806
"AC139795.2",185,121,145,90,106,100
"AC139795.1",89,115,115,104,159,79
"AC138819.1",1,0,0,1,1,1
"FAM153A",1293,252,1349,544,256,583
"AC140125.2",10,0,9,0,0,3
"AC140125.1",14,10,0,6,8,0
"AC106795.1",19,37,16,13,27,9
"OR1X5P",0,0,0,0,0,1
"AC106795.2",19,37,21,11,25,11
"FAM153C",299,54,510,186,41,240
"N4BP3",475,356,356,708,841,724
"RMND5B",1174,706,1087,893,959,1291
"NHP2",1287,913,1075,1616,1943,3210
"AC136632.2",7,8,3,6,5,8
"GMCL2",0,0,1,0,0,0
"HNRNPAB",2829,2115,2066,5979,8725,11619
"PHYKPL",5267,4132,4325,3360,4590,3659
"COL23A1",2,0,4,1,2,2
"AC008659.1",0,0,0,0,0,0
"CLK4",4136,3096,3609,2490,3951,2578
"RN7SKP70",47,49,43,17,44,21
"AC113348.2",0,1,0,0,0,2
"ZNF354A",1097,850,894,689,1026,667
"AACSP1",0,0,0,0,0,0
"ZNF354B",820,718,939,520,864,593
"ZFP2",159,147,159,81,128,108
"AC104117.1",0,0,0,0,0,1
"PIGFP1",9,2,4,1,5,6
"AC104117.5",0,0,0,0,0,0
"ZNF454",6,1,6,1,0,5
"AC104117.3",0,0,1,0,0,0
"GRM6",0,0,0,0,0,0
"AC104117.4",0,0,1,0,0,0
"ZNF879",441,375,383,289,488,303
"ZNF354C",750,611,654,505,788,601
"AC104117.2",3,1,1,2,3,3
"ADAMTS2",0,0,0,0,2,0
"AC136628.4",0,1,0,0,0,0
"AC136628.3",50,31,41,30,43,36
"RUFY1",2361,2014,2034,1613,2427,2171
"PRDX2P3",8,5,9,10,10,5
"AC136604.2",10,8,5,13,10,11
"HNRNPH1",46444,31462,38447,31607,47007,32429
"C5orf60",1,0,0,0,1,0
"AC136604.1",0,0,0,0,0,0
"AC136604.3",0,0,0,0,3,0
"CBY3",5,8,1,1,3,0
"CANX",9564,6906,6824,9645,13115,11211
"HMGB3P22",43,22,23,39,13,23
"MAML1",3606,2969,3223,2373,3284,2816
"LTC4S",40,13,37,13,16,20
"MGAT4B",2939,2115,2022,2206,2496,2460
"MIR1229",0,0,0,0,0,0
"SQSTM1",8040,5330,6588,8319,8274,9176
"MRNIP",4248,2846,3631,1854,2291,2072
"RN7SKP150",0,0,0,0,0,0
"AC008393.1",37,42,42,22,40,21
"TBC1D9B",4078,3525,3492,2976,3944,3648
"RNF130",1276,1007,1111,664,815,912
"RPS15AP18",0,0,0,0,0,0
"AC010285.2",0,0,0,0,0,0
"AC010285.3",0,0,0,1,0,0
"MIR340",1,0,0,0,0,0
"AC122713.2",3,5,11,1,3,6
"RASGEF1C",0,1,0,0,0,0
"AC104115.1",6,0,1,3,1,0
"MAPK9",1616,1192,1319,1344,1671,1574
"AC008610.1",111,111,125,42,66,75
"GFPT2",127,48,59,24,13,20
"CNOT6",2367,1609,1807,1849,2602,1815
"SCGB3A1",3,0,1,2,1,3
"FLT4",725,264,692,346,210,367
"LINC02222",0,0,1,0,0,0
"OR2AI1P",0,0,0,0,0,1
"MGAT1",8009,6388,6387,4287,5635,4822
"AC022413.1",35,18,34,20,29,22
"HEIH",1378,1138,1293,984,1285,1214
"LINC00847",1378,1108,1347,1085,1461,1230
"AC022413.2",2,1,2,3,1,2
"ZFP62",1986,1934,2090,1554,2252,1651
"BTNL8",1,0,0,4,0,0
"AC091874.1",0,0,0,0,0,0
"BTNL9",0,0,5,0,0,2
"LINC01962",0,0,1,0,0,0
"AC008443.5",47,46,40,40,46,32
"TRIM7",49,37,72,18,11,15
"AC008443.6",13,20,17,5,13,7
"AC008443.4",8,5,14,6,4,0
"TRIM41",2245,1628,1814,1964,2147,2017
"AC008443.2",2,1,0,0,0,1
"RACK1",49987,41117,43949,38131,46885,49510
"AC008443.1",225,166,198,177,199,163
"TRIM52",3756,2792,3140,1931,2690,1818
"TRIM52-AS1",345,269,300,173,248,202
"AC008443.3",4,7,6,5,4,1
"AC008443.7",8,2,10,4,6,8
"RNU6-705P",1,0,1,1,1,1
"AC138035.1",9,14,19,7,15,16
"CICP18",3,3,3,0,3,0
"AL035696.3",0,0,0,0,0,0
"AL035696.4",148,278,73,154,537,80
"DUSP22",2669,2087,1708,1768,2581,1750
"IRF4",355,163,125,5469,8010,8910
"EXOC2",2710,2101,2074,2798,4107,2929
"HUS1B",6,6,2,6,12,6
"AL357054.1",1,3,1,2,4,0
"AL357054.4",69,10,25,129,55,66
"AL357054.2",0,1,1,0,1,1
"AL357054.3",3,0,4,1,5,0
"AL512329.1",3,1,3,2,0,6
"AL512329.2",3,3,3,3,1,2
"FOXC1",0,0,0,1,0,0
"GMDS",302,288,281,409,544,625
"GMDS-DT",141,151,165,112,187,141
"HMGN2P28",3,4,5,1,6,2
"AL031768.1",2,4,9,6,6,4
"LINC01600",0,0,1,0,0,0
"MYLK4",146,92,55,62,78,43
"WRNIP1",2463,1883,2155,1943,2553,2464
"SERPINB1",3934,2392,2881,2181,2512,2077
"MIR4645",20,27,20,9,27,23
"SERPINB9P1",380,406,310,161,433,268
"SERPINB9",6289,4437,5721,3963,5074,4593
"SERPINB6",4788,1761,4163,2746,1784,3253
"LINC01011",131,89,136,82,104,84
"NQO2",1072,715,727,745,887,778
"AL133351.1",4,5,5,4,7,1
"HTATSF1P2",10,2,2,9,5,3
"FAM136BP",0,0,0,0,0,0
"AL031963.2",0,0,1,0,0,0
"RIPK1",3573,2219,2737,2664,2963,2665
"AL031963.3",21,21,24,17,19,11
"BPHL",368,374,374,275,492,299
"TUBB2A",50,35,11,65,56,21
"TUBB2B",1,2,0,2,0,0
"PSMG4",719,745,675,575,857,686
"SLC22A23",823,666,782,191,260,273
"AL445309.1",8,4,5,2,9,8
"AL138881.1",28,4,7,12,2,4
"PXDC1",2,0,1,3,3,8
"AL391422.4",0,0,0,0,0,0
"AL391422.1",0,0,0,0,0,0
"FAM50B",346,331,331,269,302,242
"AL590004.3",3,1,2,2,2,2
"AL590004.2",3,0,0,0,0,0
"GLRX3P2",1,2,5,6,6,2
"AL138831.3",0,0,0,0,0,0
"AL138831.2",1,2,1,3,1,0
"AL138831.1",2,2,0,3,5,1
"PRPF4B",7988,5401,6365,5292,7982,4999
"FAM217A",0,0,0,0,0,0
"C6orf201",2,1,0,0,0,0
"ECI2",2136,1676,1763,1277,1661,1362
"AL136309.4",1,0,0,0,0,1
"AL136309.2",5,3,5,6,3,8
"AL136309.1",2,2,0,0,0,0
"AL162718.1",1,0,0,0,0,0
"RNA5SP202",0,0,0,0,0,0
"PSMC1P11",0,0,0,0,0,0
"CDYL",1232,983,823,886,1190,852
"AL359643.1",0,0,0,1,0,0
"RPP40",152,104,82,180,302,290
"AL359643.3",40,28,30,30,42,38
"AL359643.2",6,2,0,6,5,1
"AL139094.1",4,4,1,5,5,5
"PPP1R3G",0,0,0,0,1,0
"LYRM4",568,535,444,664,891,898
"MIR3691",0,0,0,0,0,0
"FARS2",342,281,312,355,476,542
"HNRNPA1P37",1,0,0,0,0,1
"AL022097.1",0,0,0,0,0,0
"AL136968.2",2,4,3,3,2,6
"AL136307.1",3,3,5,0,1,7
"PKMP5",2,1,0,0,0,1
"NRN1",3,0,0,9,2,14
"F13A1",2,0,0,3,0,0
"LY86-AS1",3,0,3,3,1,0
"CNN3P1",0,0,0,1,0,0
"LY86",4,3,15,9,15,45
"AL031123.2",0,0,2,0,0,0
"AL031123.1",0,0,0,0,0,0
"BTF3P7",0,0,0,0,0,1
"AL139390.1",0,0,0,1,0,0
"RREB1",1468,1397,1559,934,1454,1151
"AL355336.1",3,4,1,4,3,3
"AL139095.5",0,0,0,0,0,0
"SSR1",4943,3529,3755,3953,5816,3885
"AL139095.4",1,0,0,0,0,1
"CAGE1",0,0,0,1,1,1
"AL139095.1",0,0,0,0,0,0
"AL139095.2",61,10,32,37,11,53
"RIOK1",1239,984,1020,1264,1832,1981
"HNRNPLP1",0,1,0,2,0,1
"DSP",0,0,0,1,1,2
"SNRNP48",2014,1285,1424,1115,1544,1099
"AL390026.1",7,4,4,2,5,5
"BMP6",2,0,1,0,3,0
"TXNDC5",47,27,24,56,70,72
"BLOC1S5-TXNDC5",0,0,1,0,0,0
"AL096800.1",0,2,0,0,0,0
"PIP5K1P1",0,0,0,0,0,0
"BLOC1S5",810,636,705,741,1007,807
"EEF1E1-BLOC1S5",1,1,0,0,0,1
"EEF1E1",280,193,201,360,470,487
"AL355499.1",1,0,1,0,0,2
"AL359378.1",1,0,1,1,0,1
"SLC35B3",1093,713,851,724,994,620
"AL591485.1",20,22,27,15,40,21
"AL136226.1",3,0,1,1,0,0
"AL354868.1",0,0,1,0,0,1
"TFAP2A",0,0,0,2,0,3
"AL138885.3",0,0,1,0,1,3
"TFAP2A-AS1",3,3,0,7,5,1
"MRPL48P1",0,0,0,0,0,0
"LINC02522",0,0,0,0,0,0
"GCNT2",99,70,55,96,146,64
"AL139039.3",0,0,0,0,0,0
"AL139039.2",0,2,1,0,0,0
"GCNT2P1",0,0,1,4,0,1
"AL358777.1",5,7,1,7,13,4
"C6orf52",8,8,3,17,21,41
"PAK1IP1",643,404,400,778,1224,1541
"TMEM14C",976,777,828,749,1151,1015
"AL024498.1",31,28,40,17,20,24
"TMEM14B",1200,864,948,824,1096,970
"MAK",1,0,1,2,7,3
"AL357497.1",0,0,0,0,0,3
"SYCP2L",4,0,3,2,2,1
"ELOVL2",0,0,0,0,1,0
"SMIM13",506,322,305,476,742,641
"ERVFRD-1",0,0,1,0,0,0
"AL139807.1",1,0,3,0,0,1
"NEDD9",1072,677,832,1406,1217,1276
"TMEM170B",364,195,258,180,332,161
"ADTRP",19,79,180,126,639,878
"AMD1P4",0,0,0,0,1,0
"AL157373.2",0,0,0,0,2,1
"HIVEP1",605,576,563,1928,2654,1947
"EDN1",39,43,55,54,98,98
"RPL15P3",44,29,44,33,44,52
"LINC02530",0,1,0,0,0,0
"PHACTR1",3,1,5,6,12,16
"RNU1-11P",0,0,0,0,0,0
"AL008729.1",90,98,112,60,134,72
"TBC1D7",157,161,175,182,257,242
"AL008729.2",44,45,56,26,59,38
"GFOD1",103,74,100,251,277,345
"GFOD1-AS1",0,0,0,1,1,0
"RPS4XP7",0,1,2,1,1,2
"SIRT5",940,800,741,551,748,579
"AL441883.1",6,7,9,7,8,12
"NOL7",1949,1445,1620,1580,2333,2668
"RANBP9",2257,1765,1754,2159,2611,2148
"MCUR1",609,475,464,712,981,1122
"AL023583.1",1,1,3,1,1,1
"RNF182",0,0,1,1,0,0
"CD83",133,109,87,1117,1422,1793
"AL133259.1",0,2,1,0,0,0
"LINC01108",0,1,2,0,2,0
"AL080313.2",0,2,1,1,0,0
"AL080313.1",0,0,0,1,0,0
"AL109914.1",2,4,1,1,3,0
"AL138720.1",0,0,0,27,6,4
"AL136162.1",15,7,12,4,3,6
"JARID2",1463,1370,1191,1260,1693,1182
"JARID2-AS1",2,1,0,0,5,2
"RNU6-522P",0,0,0,0,1,0
"DTNBP1",696,598,519,657,902,779
"ARPC3P5",0,0,1,2,2,0
"MYLIP",1682,1071,943,952,1100,728
"MIR4639",0,0,1,1,0,0
"AL021407.3",39,6,8,17,18,8
"MRPL42P2",3,0,0,2,1,0
"GMPR",15,35,32,17,50,37
"AL009031.1",0,0,0,0,0,0
"ATXN1",2601,1478,1748,3194,3190,2358
"AL137003.1",36,31,24,42,59,37
"AL137003.2",195,115,186,267,274,187
"STMND1",0,0,0,6,6,10
"RBM24",0,3,1,1,3,0
"CAP2",0,1,3,1,2,0
"RPL7P26",2,2,2,2,0,2
"SUMO2P13",0,0,0,0,0,0
"FAM8A1",3165,2094,2465,1015,1692,834
"NUP153",4078,3290,3198,4631,6485,5659
"AL138724.1",113,70,75,252,275,294
"KIF13A",24,26,18,24,26,31
"NHLRC1",33,24,33,26,21,20
"TPMT",428,310,369,424,556,494
"KDM1B",552,445,495,454,741,541
"DEK",5225,3181,3636,6223,8147,6700
"DDX18P3",1,0,0,0,1,0
"RNF144B",158,131,198,119,184,138
"AL589647.1",1,0,1,0,2,3
"ID4",0,0,0,0,0,0
"AL008627.1",1,0,0,2,3,0
"MBOAT1",126,118,113,162,263,186
"AL158198.1",1,2,3,1,1,1
"E2F3",3848,2950,3311,2429,3584,2883
"RN7SL128P",0,2,0,0,3,1
"E2F3-IT1",2,1,3,4,7,1
"CDKAL1",544,458,517,522,817,831
"AL512380.1",0,0,0,0,0,0
"AL512380.2",0,0,0,0,1,1
"SOX4",142,132,110,63,135,37
"BOLA2P3",0,0,0,0,0,0
"CASC15",26,46,34,11,38,11
"AL136313.1",0,0,0,0,0,0
"RN7SKP240",0,0,0,0,0,0
"NBAT1",0,14,5,2,3,0
"PRL",41,85,53,7,60,21
"HDGFL1",0,0,0,0,0,0
"AL139093.1",0,0,0,0,0,0
"AL032822.1",0,0,0,0,0,0
"HNRNPA1P58",0,0,1,0,1,0
"DCDC2",0,0,2,3,0,0
"MRS2",1413,986,1222,1114,1525,1267
"GPLD1",67,69,60,27,61,40
"ALDH5A1",1130,1021,1260,846,1185,1196
"KIAA0319",3,1,1,7,4,1
"TDP2",2525,1684,2022,1677,2425,1807
"ACOT13",422,359,372,393,471,525
"AL031775.1",153,71,91,77,130,64
"C6orf62",10662,8089,8881,7809,12506,7048
"AL031775.2",13,10,11,10,11,10
"GMNN",148,138,102,637,670,1081
"ARMH2",41,30,16,20,23,21
"AL512428.1",3,1,2,1,3,2
"RIPOR2",31311,25656,23620,14054,24095,14381
"MTCO2P33",2,1,1,2,3,0
"PPIAP29",1051,8,768,1324,5,2279
"ASS1P1",9,8,2,8,10,2
"RN7SL334P",1,1,0,0,0,1
"CMAHP",677,397,514,1148,1206,1253
"AL133268.4",0,0,1,0,0,0
"AL133268.1",6,1,1,1,4,2
"AL024509.2",1,0,1,0,1,2
"AL024509.1",0,0,0,0,0,0
"CARMIL1",480,359,441,447,553,561
"SLC17A1",1,2,0,1,3,0
"SLC17A3",9,1,1,24,8,0
"HIST1H2APS2",0,0,0,2,0,0
"SLC17A2",1,0,0,0,0,0
"TRIM38",3542,2697,3107,2495,3438,2568
"U91328.2",0,0,0,1,0,0
"U91328.1",154,90,97,83,83,58
"U91328.3",18,7,14,7,8,3
"HIST1H1PS2",0,0,1,0,0,0
"HIST1H1A",0,0,0,0,0,0
"HIST1H3A",1,0,1,2,4,1
"HIST1H4A",0,0,0,0,1,0
"HIST1H4B",0,0,0,1,2,1
"HIST1H3B",0,0,0,3,2,2
"HIST1H2AB",0,1,0,0,4,4
"HIST1H2BB",0,0,0,1,1,0
"HIST1H2APS5",0,0,0,0,0,0
"HIST1H3C",0,0,1,5,14,10
"HIST1H1C",175,110,204,239,181,210
"HFE",89,57,59,52,90,56
"HIST1H4C",2,3,1,1,5,6
"HIST1H1T",0,0,0,0,0,0
"HIST1H2BC",6,3,9,4,10,10
"HIST1H2AC",913,586,1571,814,1056,1149
"HIST1H1E",5,8,4,3,2,7
"HIST1H2BD",218,180,301,208,262,322
"AL353759.1",21,27,33,18,25,24
"LARP1P1",2,0,0,0,0,0
"HIST1H2BE",20,17,32,15,22,28
"HIST1H4D",3,2,3,4,4,8
"HIST1H1PS1",2,1,2,1,3,0
"AL031777.3",20,7,18,9,6,18
"HIST1H2BF",5,1,3,1,3,6
"AL031777.1",7,1,3,2,2,3
"HIST1H4E",4,12,5,3,5,6
"HIST1H2BG",7,10,23,15,9,24
"HIST1H2AE",6,4,8,9,6,18
"HIST1H3E",145,131,175,70,236,132
"HIST1H1D",2,5,4,3,7,7
"HIST1H4F",2,0,1,0,0,0
"HIST1H3F",0,0,0,0,2,8
"HIST1H2BH",10,12,8,47,46,90
"HIST1H3G",6,1,13,13,7,14
"HIST1H2APS4",0,0,3,2,0,5
"HIST1H2BI",1,0,0,2,3,5
"HIST1H4H",86,52,110,131,156,149
"HIST1H3PS1",1,1,0,0,2,1
"BTN3A2",17742,13281,15287,13883,19878,15938
"BTN2A2",912,649,815,1069,1331,1189
"BTN3A1",14792,12581,18070,12432,19759,19803
"BTN2A3P",83,61,77,70,71,64
"BTN3A3",10248,8062,9022,8274,12561,9293
"BTN2A1",4729,3428,3931,3360,4855,3758
"AL121936.2",4,1,0,1,2,0
"BTN1A1",0,0,0,1,2,1
"RNU6-502P",0,0,0,0,0,0
"HCG11",372,365,541,299,521,388
"HMGN4",5159,3006,3404,3737,4605,3235
"AL121936.1",0,0,0,0,0,0
"ABT1",1969,1404,1571,1597,2052,2040
"AL513548.3",11,7,4,5,9,0
"ZNF322",145,144,186,122,195,154
"AL513548.4",11,2,7,9,14,2
"AL513548.1",0,2,0,0,0,1
"GUSBP2",68,78,52,49,57,30
"LINC00240",1,0,0,2,2,0
"VN1R12P",0,0,1,0,0,0
"RNU2-62P",1,0,1,2,1,0
"AL021807.1",6,3,12,5,3,13
"HIST1H2BJ",15,9,21,26,14,34
"HIST1H2AG",109,79,158,142,136,193
"HIST1H4I",27,16,38,36,19,31
"HIST1H2BK",263,187,329,230,252,332
"HIST1H2AH",3,0,3,2,6,6
"MIR3143",1,1,0,0,3,1
"RPL10P2",1,0,0,0,0,0
"PRSS16",23,2,7,19,10,15
"POM121L2",0,0,0,1,0,0
"ZNF204P",1400,1130,1466,522,917,678
"ZNF391",188,217,209,129,259,160
"AL031118.1",3,3,1,7,4,4
"MCFD2P1",0,1,3,1,1,0
"ZNF184",846,547,581,673,784,568
"AL021918.4",0,0,0,0,1,0
"AL021918.1",1,0,0,0,0,0
"HNRNPA1P1",0,1,0,1,0,1
"AL009179.1",51,37,31,43,56,31
"GPR89P",0,2,0,9,1,7
"RSL24D1P1",1,0,0,1,0,2
"HIST1H2BL",0,0,0,0,3,6
"HIST1H2AI",3,2,0,6,4,9
"HIST1H3H",15,7,7,10,24,25
"HIST1H2AJ",0,0,1,6,3,10
"HIST1H2BM",0,0,0,0,0,4
"HIST1H4J",0,4,1,5,0,1
"HIST1H4K",10,2,6,4,10,6
"HIST1H2BN",11,8,15,19,23,24
"HIST1H2AK",8,2,6,4,6,8
"HIST1H2BPS2",0,0,0,0,0,0
"HIST1H2AL",0,0,0,2,1,3
"HIST1H1B",0,2,0,1,2,0
"HIST1H3I",1,1,0,0,0,2
"HIST1H4L",0,0,0,1,0,1
"HIST1H3J",0,0,2,0,0,2
"HIST1H2AM",0,0,2,1,1,0
"HIST1H2BO",0,0,0,0,2,1
"OR2W6P",0,0,0,0,0,0
"OR2B6",0,0,6,3,2,4
"RPLP2P1",0,0,0,0,0,0
"OR2W4P",0,0,0,0,0,0
"IQCB2P",0,0,1,0,0,0
"OR2W2P",0,0,1,0,0,0
"OR2B8P",0,0,1,0,0,0
"OR1F12",0,0,0,0,0,0
"AL121944.1",10,10,18,9,15,7
"ZNF165",39,24,40,31,40,75
"ZSCAN12P1",3,1,5,6,7,8
"ZSCAN16-AS1",172,109,154,106,120,108
"ZSCAN16",436,274,335,270,338,274
"AL358933.1",3,1,4,6,5,1
"ZKSCAN8",3468,2613,2873,2200,3469,1911
"ZNF192P1",51,36,33,32,45,29
"AL022393.1",19,6,10,10,10,12
"ZNF603P",12,5,2,10,7,0
"ZNF192P2",0,0,0,0,0,0
"TOB2P1",0,0,0,0,1,1
"ZSCAN9",144,66,82,142,85,117
"ZKSCAN4",623,448,548,389,492,436
"NKAPL",4,3,4,5,6,6
"ZSCAN26",1078,836,996,703,879,727
"AL021997.3",2,0,0,1,1,1
"PGBD1",148,58,53,84,102,101
"AL021997.2",0,0,0,0,0,0
"AL021997.1",0,0,0,0,0,1
"ZSCAN31",90,28,34,79,48,40
"ZKSCAN3",430,417,353,265,374,211
"ZSCAN12",674,498,572,467,550,412
"ZSCAN23",22,28,17,20,35,11
"COX11P1",3,0,0,0,0,2
"ZBED9",2,1,3,0,0,4
"AL662890.1",1,0,0,1,0,1
"TRIM27",753,546,584,480,621,643
"LINC01556",1,0,0,0,0,0
"HCG15",0,0,0,0,0,0
"ZNF311",3,1,2,2,2,3
"UBD",0,0,0,0,0,0
"GABBR1",367,407,387,261,348,267
"MOG",0,0,0,0,0,0
"ZFP57",0,4,0,0,10,0
"HLA-F",3333,2229,2388,3624,4956,4244
"AL645939.1",0,0,2,0,0,0
"HLA-F-AS1",13,7,6,8,8,5
"MICE",0,0,0,0,0,0
"AL645939.5",0,0,0,0,0,1
"HLA-V",0,4,5,0,5,0
"HCG4",0,1,0,0,0,0
"HLA-G",86,55,167,78,90,272
"AL645929.3",0,6,5,0,11,3
"AL645929.2",0,1,2,0,0,0
"AL645929.1",1,0,0,0,0,0
"HLA-H",1404,1099,2292,1238,1517,3013
"HLA-T",0,0,0,0,0,0
"HCG4B",0,0,0,0,0,0
"HLA-K",20,4,4,34,6,7
"HLA-U",0,0,0,0,0,0
"HLA-A",6667,11355,10466,6210,18191,14452
"AL671277.1",0,1,1,0,4,7
"HLA-W",0,1,0,0,0,0
"DDX39BP2",0,0,0,0,0,0
"MCCD1P2",0,0,0,0,0,0
"ZNRD1ASP",55,66,51,35,36,34
"HLA-J",39,21,54,53,20,70
"AL671277.2",0,3,1,0,1,1
"ETF1P1",1,0,1,2,5,4
"RF02219",4,2,1,1,3,2
"ZNRD1",332,253,322,320,439,447
"PPP1R11",241,153,159,238,252,274
"TRIM10",0,0,0,0,0,0
"TRIM15",0,0,0,0,0,0
"TRIM26",248,202,207,286,406,368
"HCG17",0,1,2,0,0,0
"HLA-L",30,7,5,16,12,12
"AL662795.2",0,0,0,1,0,0
"HCG18",89,83,62,45,86,52
"TRIM39",14,18,14,17,23,16
"TRIM39-RPP21",0,0,0,0,0,0
"RPP21",34,38,28,26,42,33
"MICC",0,0,0,0,1,0
"HLA-E",9518,7192,8434,7328,9743,9691
"LINC02569",0,0,0,0,0,0
"GNL1",722,548,623,701,823,984
"PRR3",50,47,62,41,67,88
"ABCF1",1654,1291,1221,1710,2620,2564
"PPP1R10",797,606,550,602,683,659
"MRPS18B",414,396,411,416,663,659
"ATAT1",128,107,90,89,113,125
"C6orf136",170,156,235,143,193,247
"DHX16",872,703,811,651,947,981
"PPP1R18",356,208,226,337,407,352
"NRM",8,0,1,19,31,31
"MDC1",254,246,250,243,344,310
"TUBB",822,822,745,2693,3383,4015
"AL662797.1",1,0,0,0,0,0
"FLOT1",901,636,613,803,1002,1046
"IER3-AS1",0,0,0,1,0,1
"IER3",1,1,1,20,45,100
"HCG20",0,3,0,0,0,0
"LINC00243",12,9,16,13,16,12
"DDR1",54,45,114,31,60,83
"GTF2H4",13,16,8,4,12,9
"VARS2",537,535,562,466,749,939
"SFTA2",0,0,0,0,1,2
"CCHCR1",247,198,223,221,293,417
"TCF19",26,32,54,146,108,319
"POU5F1",4,1,1,5,4,1
"PSORS1C3",0,0,0,2,0,0
"AL662844.4",0,0,40,0,0,32
"HCG27",0,0,1,0,0,1
"HLA-C",4794,8937,19185,4198,14374,27966
"HLA-B",23137,16756,16086,20474,25098,19463
"RPL3P2",0,0,0,2,0,0
"AL671883.2",5,3,1,2,4,2
"AL671883.3",4,0,0,5,0,0
"FGFR3P1",0,0,0,0,0,0
"HLA-S",0,0,0,0,1,0
"AL645933.2",4,1,0,1,0,1
"MICA",121,64,110,97,100,142
"HCP5",89,85,82,103,128,73
"LINC01149",0,0,0,0,1,0
"AL645933.1",0,0,0,0,0,0
"MICB",77,48,43,90,151,112
"DDX39B",165,104,154,76,131,101
"ATP6V1G2-DDX39B",0,0,0,0,0,0
"ATP6V1G2",3,0,4,3,7,3
"NFKBIL1",38,23,43,24,27,36
"LTA",53,39,37,271,754,1865
"TNF",9,4,3,100,156,362
"LTB",2716,1874,2392,2881,4520,4482
"LST1",24,18,22,50,76,73
"NCR3",125,88,28,129,163,125
"AIF1",110,124,128,69,182,220
"PRRC2A",2941,2727,2503,2597,3561,3484
"BAG6",2964,2513,2626,2215,3323,3119
"APOM",13,12,21,10,19,16
"GPANK1",93,64,57,63,108,96
"CSNK2B",116,107,145,132,173,177
"AL662899.2",0,0,0,0,0,1
"LY6G5B",9,6,9,4,15,13
"LY6G5C",15,5,17,14,5,6
"ABHD16A",109,79,95,66,107,72
"MPIG6B",3,2,0,0,2,1
"LY6G6C",0,0,0,0,0,0
"DDAH2",73,63,38,50,56,41
"CLIC1",737,325,294,1540,1338,1644
"MSH5",8,6,6,20,20,8
"MSH5-SAPCD1",0,2,1,1,1,0
"SAPCD1",1,2,0,4,0,0
