"A1"	"A3"	"A4"	"N2"	"N3"	"N5"
"AAR2"	4.36339268307402	4.69599975951308	3.44961931246936	4.24197403969748	4.68814623504263	8.7672928040364
"AARD"	0.0266241511516799	0.162854297550417	0.190058759943084	0.326478862037508	0.0911522996487846	0.0458784116308461
"AARS1"	1.35785982243504	0.790565530216581	0.885835086370748	0.69145190258923	0.352649909030927	0.777858773919146
"AARS1P1"	0	0	0	0	0	0
"AARS2"	0	0	0.0799848089869479	0	0.0365371788093947	0.175227187023543
"AARSD1"	24.5115523896581	27.7396061943447	30.8820393278819	22.0209975440979	21.8207917558192	26.485176387063
"AARSD1P1"	0.716779870489772	0.194666153727118	0.252272250260435	0.442055334338696	0.665385374529738	0.84479647074845
"AASDH"	47.4667351610153	44.3352109457972	44.0215297442678	42.4373375146965	45.4775214861137	55.7565770081797
"AASDHPPT"	4.68876775404566	6.32945124208348	9.23917474589438	7.66289660416099	7.29258898908726	3.45588346375575
"AASS"	10.355788677992	7.37227734093427	6.2487079572759	1.30177946792813	2.34023557969821	1.23036754326725
"AATF"	53.4137215582936	56.9208858804853	55.1228880542553	62.1375578025439	60.292236300481	71.1264243355043
"AATK"	0.637137662657575	0.243332692158898	0	0.442055334338696	0.595977001026619	0.56652051328391
"ABAT"	14.6663467203901	12.4029583452389	11.7965392739045	12.8647335723356	12.3576384300624	7.17721688679367
"ABCA1"	0	0	0	0	0	0
"ABCA10"	4.22671311525864	3.98431937390315	3.6830752062635	4.14094671358772	5.16715453179885	2.84543258980863
"ABCA11P"	1.79120103947081	1.16101814075159	2.13031301732424	2.64119221160684	2.46659226232141	4.84252742145125
"ABCA12"	0	0.0486665384317796	0	0.055256916792337	0	0.0496939100440265
"ABCA13"	1.61811701845533	0.572771090765144	1.05405274556691	1.9443278940178	1.43502795830862	1.51231538374494
"ABCA15P"	0	0	0	0	0	0
"ABCA17P"	0.891194155302672	1.43174371873105	1.00606236471924	0.607826084715707	0.87660762220437	0.832571271938519
"ABCA2"	48.0967919706928	68.4113434181367	44.9202335926299	38.8867600743054	79.113130483572	53.429832108236
"ABCA3"	7.98045186517589	12.2226824002606	17.0159095979715	2.09976112514438	2.49981379687972	2.70462633682227
"ABCA3P1"	0	0	0	0	0	0
"ABCA4"	0	0	0	0	0	0
"ABCA5"	93.3547642501211	83.3168412625915	88.879028549878	81.5895546264842	48.0052291057876	46.5227229909129
"ABCA6"	2.27918079318985	1.68682310193776	1.49170959244954	1.97935856898747	2.51835924445982	1.93150041089572
"ABCA7"	114.129868213182	201.453751275333	252.124967413927	70.2485421386498	117.842385912492	148.242384586324
"ABCA8"	0.187530321094161	0.285793760275242	0.545554508203832	0.148281936212236	0.266349715252409	0.252497241629201
"ABCA9"	5.62661048425375	4.10920102571036	5.50433516591931	6.31664471189089	5.88715418995985	4.46563042093064
"ABCB1"	7.66281039894466	8.89245696863932	8.36338829393213	15.1072410510249	12.697432278705	11.0442888752083
"ABCB10"	1.04306523533542	0.532092677951557	0.645634063285275	1.02081572825247	1.18716554174053	1.80180775364552
"ABCB10P1"	0	0	0	0	0	0
"ABCB10P3"	0.00273744603916671	0	0	0	0.00127851774629967	0
"ABCB10P4"	0	0	0	0	0	0
"ABCB11"	0.334858052096707	0.425806904678087	0.58378069160517	0.419203283830057	0.537693581687648	0.488746562430406
"ABCB4"	0.242516894225666	0.200902089295613	0.192984108957104	0.0421551702793731	0.341251278969255	0.072758827040627
"ABCB5"	0.191880378485955	0.0536154387249073	0.156434022386496	0.356760205008877	0.0957423015410841	0.130951403991617
"ABCB6"	15.5111450685935	23.0077753691268	25.6776407458064	21.1185715925807	35.7961024362135	31.3030933965041
"ABCB7"	21.2114731768388	14.9625987806621	21.9352645177357	19.9907644717565	17.9099825607765	32.4745935339331
"ABCB8"	36.4301388118956	39.2505277673555	54.1246408441905	32.2621143498898	34.5212853296431	35.6472332742108
"ABCB9"	5.94490932849799	9.93652455088551	8.14021028662596	6.65337174274437	9.86504464309233	5.673556194422
"ABCC1"	184.352383402765	133.104899336085	107.142760957692	94.8666948843668	236.76391403286	159.141713923481
"ABCC10"	42.0721224281768	40.7709269298154	37.1100193357152	30.2890076582968	34.1675337747383	19.4690636780584
"ABCC11"	0.40095152753249	0.341484096866188	0.316686437552934	0.167178144047712	0.175776879475443	0.0993878200880529
